Sample,Payload [Bytes],Latency [us]
1,16,2.16457
2,16,1.91707
3,16,1.87307
4,16,1.87307
5,16,1.86807
6,16,1.86607
7,16,1.86007
8,16,1.84857
9,16,1.85957
10,16,1.86057
11,16,1.85957
12,16,1.83757
13,16,1.83857
14,16,1.85507
15,16,1.85607
16,16,1.83407
17,16,1.84857
18,16,1.84657
19,16,1.85657
20,16,1.84907
21,16,1.85307
22,16,1.85007
23,16,1.84957
24,16,1.85507
25,16,1.86157
26,16,1.85807
27,16,1.86307
28,16,1.85807
29,16,1.86757
30,16,1.85857
31,16,1.86107
32,16,1.85907
33,16,1.92657
34,16,1.84157
35,16,1.84007
36,16,1.83657
37,16,1.84407
38,16,1.84157
39,16,1.84007
40,16,1.83507
41,16,1.84407
42,16,1.83807
43,16,1.83957
44,16,1.84657
45,16,1.84507
46,16,1.84307
47,16,1.84407
48,16,1.83407
49,16,1.84057
50,16,1.84407
51,16,1.84407
52,16,1.84057
53,16,1.84407
54,16,1.84307
55,16,1.84307
56,16,1.83907
57,16,1.84407
58,16,1.84307
59,16,1.84357
60,16,1.84007
61,16,1.84407
62,16,1.84307
63,16,1.84507
64,16,1.84507
65,16,1.85657
66,16,1.85057
67,16,1.84407
68,16,1.84057
69,16,1.84407
70,16,1.84957
71,16,1.84407
72,16,1.84657
73,16,1.84307
74,16,1.84957
75,16,1.84407
76,16,1.84657
77,16,1.84057
78,16,1.84607
79,16,1.84157
80,16,1.84207
81,16,1.84207
82,16,1.84757
83,16,1.84407
84,16,1.84807
85,16,1.84057
86,16,1.84907
87,16,1.83957
88,16,1.84957
89,16,1.84007
90,16,1.84707
91,16,1.84057
92,16,1.85007
93,16,1.83957
94,16,1.84407
95,16,1.84157
96,16,1.84307
97,16,1.84157
98,16,1.84957
99,16,1.83957
100,16,1.84307
101,64,2.01257
102,64,1.90207
103,64,1.90407
104,64,1.91107
105,64,1.89507
106,64,1.85907
107,64,1.87207
108,64,1.84507
109,64,1.85357
110,64,1.86957
111,64,1.85757
112,64,1.85407
113,64,1.84957
114,64,1.84857
115,64,1.87207
116,64,1.87057
117,64,1.85107
118,64,1.85107
119,64,1.84407
120,64,1.84857
121,64,1.85207
122,64,1.85057
123,64,1.87757
124,64,1.84957
125,64,1.85607
126,64,1.84407
127,64,1.87407
128,64,1.84907
129,64,1.85257
130,64,1.85407
131,64,1.87557
132,64,1.84257
133,64,1.85107
134,64,1.84807
135,64,1.85207
136,64,1.84507
137,64,1.86207
138,64,1.85407
139,64,1.86507
140,64,1.85857
141,64,1.85757
142,64,1.86057
143,64,1.85957
144,64,1.87657
145,64,1.85407
146,64,1.85757
147,64,1.87607
148,64,1.86007
149,64,1.85757
150,64,1.86057
151,64,1.85357
152,64,1.85257
153,64,1.85207
154,64,1.85757
155,64,1.87757
156,64,1.86657
157,64,1.84957
158,64,1.88057
159,64,1.85207
160,64,1.84957
161,64,1.85407
162,64,1.85257
163,64,1.85107
164,64,1.85507
165,64,1.85007
166,64,1.85907
167,64,1.87557
168,64,1.85957
169,64,1.85157
170,64,1.85807
171,64,1.84807
172,64,1.87857
173,64,1.84407
174,64,1.85707
175,64,1.87407
176,64,1.85657
177,64,1.84407
178,64,1.86107
179,64,1.84957
180,64,1.85507
181,64,1.84857
182,64,1.85957
183,64,1.85207
184,64,1.85907
185,64,1.85057
186,64,1.85407
187,64,1.84907
188,64,1.85607
189,64,1.84707
190,64,1.86057
191,64,1.84857
192,64,1.86057
193,64,1.84557
194,64,1.86157
195,64,1.85307
196,64,1.85807
197,64,1.84507
198,64,1.86207
199,64,1.85007
200,64,1.85507
201,256,2.02757
202,256,1.92757
203,256,1.90757
204,256,1.91657
205,256,1.91057
206,256,1.88157
207,256,1.87057
208,256,1.86057
209,256,1.87757
210,256,1.87057
211,256,1.87207
212,256,1.87207
213,256,1.87907
214,256,1.87157
215,256,1.87857
216,256,1.86657
217,256,1.87657
218,256,1.86907
219,256,1.87307
220,256,1.87207
221,256,1.87957
222,256,1.87307
223,256,1.86507
224,256,1.89207
225,256,1.87107
226,256,1.87507
227,256,1.87057
228,256,1.87207
229,256,1.87207
230,256,1.86507
231,256,1.87157
232,256,1.87057
233,256,1.87157
234,256,1.87307
235,256,1.86857
236,256,1.87407
237,256,1.86807
238,256,1.87007
239,256,1.87757
240,256,1.86857
241,256,1.86957
242,256,1.86407
243,256,1.87407
244,256,1.87407
245,256,1.87057
246,256,1.86807
247,256,1.86957
248,256,1.87057
249,256,1.87507
250,256,1.86507
251,256,1.87207
252,256,1.86957
253,256,1.87507
254,256,1.86407
255,256,1.87507
256,256,1.87207
257,256,1.86857
258,256,1.88157
259,256,1.87557
260,256,1.87307
261,256,1.87107
262,256,1.87057
263,256,1.87157
264,256,1.87307
265,256,1.87107
266,256,1.86707
267,256,1.87207
268,256,1.87057
269,256,1.86307
270,256,1.86807
271,256,1.87307
272,256,1.86957
273,256,1.87207
274,256,1.87207
275,256,1.86557
276,256,1.87157
277,256,1.86857
278,256,1.86407
279,256,1.86857
280,256,1.87057
281,256,1.86507
282,256,1.86607
283,256,1.87307
284,256,1.87057
285,256,1.87507
286,256,1.86307
287,256,1.86907
288,256,1.87157
289,256,1.87157
290,256,1.86507
291,256,1.86807
292,256,1.86757
293,256,1.86357
294,256,1.86507
295,256,1.87157
296,256,1.87057
297,256,1.86407
298,256,1.86557
299,256,1.87407
300,256,1.86707
301,1024,2.15507
302,1024,2.00557
303,1024,2.00157
304,1024,1.98657
305,1024,1.98407
306,1024,1.99357
307,1024,1.98907
308,1024,1.96557
309,1024,1.97557
310,1024,2.00757
311,1024,1.96957
312,1024,1.98107
313,1024,1.98357
314,1024,1.97307
315,1024,1.97807
316,1024,1.96657
317,1024,1.97407
318,1024,1.96857
319,1024,1.97207
320,1024,1.96507
321,1024,1.96857
322,1024,1.97007
323,1024,1.96957
324,1024,1.97807
325,1024,1.97307
326,1024,1.95957
327,1024,1.97457
328,1024,1.95757
329,1024,1.97307
330,1024,1.97457
331,1024,1.98107
332,1024,1.96857
333,1024,1.97107
334,1024,1.98757
335,1024,1.97007
336,1024,1.98657
337,1024,1.98007
338,1024,1.97757
339,1024,1.97507
340,1024,1.96307
341,1024,1.97007
342,1024,1.98557
343,1024,1.96957
344,1024,1.96857
345,1024,1.97307
346,1024,1.98957
347,1024,1.98007
348,1024,1.96207
349,1024,1.98857
350,1024,1.97157
351,1024,1.97507
352,1024,1.96757
353,1024,1.99857
354,1024,1.96757
355,1024,1.97307
356,1024,1.97007
357,1024,1.96307
358,1024,1.98657
359,1024,1.99807
360,1024,1.96507
361,1024,1.99657
362,1024,1.99107
363,1024,1.97157
364,1024,1.96857
365,1024,1.98157
366,1024,1.99357
367,1024,1.98957
368,1024,1.96657
369,1024,1.98157
370,1024,1.96807
371,1024,1.96857
372,1024,1.99757
373,1024,1.97407
374,1024,1.96507
375,1024,1.99107
376,1024,1.99157
377,1024,1.96907
378,1024,1.96257
379,1024,1.98057
380,1024,1.97557
381,1024,1.96807
382,1024,1.97107
383,1024,1.97107
384,1024,2.00107
385,1024,1.97507
386,1024,1.99857
387,1024,1.97207
388,1024,1.96857
389,1024,1.96857
390,1024,1.99407
391,1024,1.96657
392,1024,1.96957
393,1024,1.97257
394,1024,1.96757
395,1024,1.96207
396,1024,1.97107
397,1024,1.97357
398,1024,1.96957
399,1024,1.97107
400,1024,1.96657
401,4096,2.79657
402,4096,2.72607
403,4096,2.75057
404,4096,2.73257
405,4096,2.67907
406,4096,2.68707
407,4096,2.66357
408,4096,2.65507
409,4096,2.66357
410,4096,2.66157
411,4096,2.66357
412,4096,2.66507
413,4096,2.65857
414,4096,2.67857
415,4096,2.65707
416,4096,2.66957
417,4096,2.66357
418,4096,2.69057
419,4096,2.65207
420,4096,2.67757
421,4096,2.65807
422,4096,2.69057
423,4096,2.67257
424,4096,2.65857
425,4096,2.65607
426,4096,2.65807
427,4096,2.65007
428,4096,2.67707
429,4096,2.67357
430,4096,2.67507
431,4096,2.66807
432,4096,2.65357
433,4096,2.66207
434,4096,2.66257
435,4096,2.65007
436,4096,2.66557
437,4096,2.66807
438,4096,2.65407
439,4096,2.67057
440,4096,2.66507
441,4096,2.65707
442,4096,2.67507
443,4096,2.65857
444,4096,2.66507
445,4096,2.65707
446,4096,2.66607
447,4096,2.66607
448,4096,2.67707
449,4096,2.66607
450,4096,2.66507
451,4096,2.66207
452,4096,2.65957
453,4096,2.66407
454,4096,2.66907
455,4096,2.65707
456,4096,2.66507
457,4096,2.66207
458,4096,2.64957
459,4096,2.66357
460,4096,2.65957
461,4096,2.67257
462,4096,2.65457
463,4096,2.65607
464,4096,2.66507
465,4096,2.66057
466,4096,2.65907
467,4096,2.65507
468,4096,2.68707
469,4096,2.65857
470,4096,2.67057
471,4096,2.65807
472,4096,2.68007
473,4096,2.65457
474,4096,2.64707
475,4096,2.66307
476,4096,2.66257
477,4096,2.65707
478,4096,2.65407
479,4096,2.64357
480,4096,2.65857
481,4096,2.66207
482,4096,2.66157
483,4096,2.65157
484,4096,2.68057
485,4096,2.67707
486,4096,2.65807
487,4096,2.66157
488,4096,2.66357
489,4096,2.66757
490,4096,2.66407
491,4096,2.66607
492,4096,2.65507
493,4096,2.65157
494,4096,2.65907
495,4096,2.64507
496,4096,2.63957
497,4096,2.64807
498,4096,2.65407
499,4096,2.65607
500,4096,2.66507
501,16384,5.83107
502,16384,5.47107
503,16384,5.44057
504,16384,5.45507
505,16384,5.41957
506,16384,5.41057
507,16384,5.40157
508,16384,5.43657
509,16384,5.40257
510,16384,5.38357
511,16384,5.41857
512,16384,5.37657
513,16384,5.38157
514,16384,5.37307
515,16384,5.35657
516,16384,5.35757
517,16384,5.37157
518,16384,5.36707
519,16384,5.38407
520,16384,5.35607
521,16384,5.37107
522,16384,5.36607
523,16384,5.38857
524,16384,5.36807
525,16384,5.37807
526,16384,5.37957
527,16384,5.37807
528,16384,5.36557
529,16384,5.37707
530,16384,5.34257
531,16384,5.34357
532,16384,5.38057
533,16384,5.37357
534,16384,5.40657
535,16384,5.31807
536,16384,5.34157
537,16384,5.36457
538,16384,5.32907
539,16384,5.36507
540,16384,5.37507
541,16384,5.34457
542,16384,5.36157
543,16384,5.35007
544,16384,5.35807
545,16384,5.36107
546,16384,5.36607
547,16384,5.35407
548,16384,5.34957
549,16384,5.40207
550,16384,5.35457
551,16384,5.34707
552,16384,5.35707
553,16384,5.33907
554,16384,5.33157
555,16384,5.34007
556,16384,5.35407
557,16384,5.35257
558,16384,5.37307
559,16384,5.34057
560,16384,5.35607
561,16384,5.32257
562,16384,5.33707
563,16384,5.32057
564,16384,5.34057
565,16384,5.33957
566,16384,5.33007
567,16384,5.35807
568,16384,5.34357
569,16384,5.33907
570,16384,5.36107
571,16384,5.33007
572,16384,5.34557
573,16384,5.33257
574,16384,5.33707
575,16384,5.34057
576,16384,5.30807
577,16384,5.34707
578,16384,5.33807
579,16384,5.37807
580,16384,5.34407
581,16384,5.35357
582,16384,5.32857
583,16384,5.34957
584,16384,5.37457
585,16384,5.32257
586,16384,5.33507
587,16384,5.37057
588,16384,5.33907
589,16384,5.37357
590,16384,5.31157
591,16384,5.34307
592,16384,5.33507
593,16384,5.35157
594,16384,5.35707
595,16384,5.33507
596,16384,5.32607
597,16384,5.35157
598,16384,5.33907
599,16384,5.35407
600,16384,5.33657
